Filename,Rotulo_Real,Prob_V1,Pred_V1,Prob_V2,Pred_V2
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\116.png,0,0.64995956,1,0.5167826,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\13.png,1,0.63485634,1,0.63438076,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\162.png,1,0.8080924,1,0.8259071,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1318.png,0,0.46747047,1,0.33790556,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\461.png,0,0.56440794,1,0.51099706,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1767.png,0,0.11073172,0,0.1695016,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\278.png,0,0.20579214,0,0.19300795,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\429.png,1,0.8247908,1,0.777573,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\382.png,0,0.3109407,0,0.2687868,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1699.png,0,0.4053964,1,0.42898116,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\502.png,0,0.15622015,0,0.17377698,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\123.png,1,0.9030812,1,0.88757557,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\633.png,1,0.78883165,1,0.8721102,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\48.png,1,0.8993687,1,0.87577426,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\815.png,0,0.3657325,1,0.4821334,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\353.png,0,0.2093789,0,0.26479298,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\416.png,1,0.9479302,1,0.962537,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\568.png,0,0.09823983,0,0.14916591,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\503.png,0,0.17665993,0,0.1618728,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\345.png,0,0.18702129,0,0.2611934,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\108.png,1,0.9877336,1,0.9858364,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\239.png,1,0.8846699,1,0.8713635,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\326.png,0,0.111414805,0,0.16431506,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\194.png,1,0.8860733,1,0.8943051,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\152.png,1,0.6804305,1,0.67679286,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\693.png,0,0.3932349,1,0.3147856,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\981.png,1,0.853873,1,0.71517414,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\192.png,1,0.8461012,1,0.8093887,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\230.png,1,0.92823005,1,0.9128543,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\999.png,0,0.32931307,0,0.24489729,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\106.png,1,0.72508645,1,0.7481766,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1264.png,0,0.24488834,0,0.1711789,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\564.png,0,0.16006969,0,0.15505469,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1601.png,0,0.58718103,1,0.31189537,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\165.png,1,0.76545614,1,0.6823065,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\441.png,0,0.1377144,0,0.36629206,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\397.png,1,0.76907355,1,0.50592285,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\16.png,0,0.33657262,0,0.32685164,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\608.png,1,0.9351965,1,0.9621305,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\449.png,0,0.48013613,1,0.5011453,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\776.png,1,0.39429066,1,0.4937575,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\380.png,0,0.6861263,1,0.36693788,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1374.png,0,0.42640403,1,0.47233632,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1417.png,1,0.9350139,1,0.8996243,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\237.png,1,0.815739,1,0.8784533,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1913.png,0,0.29936644,0,0.33236486,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\601.png,0,0.21677388,0,0.19134405,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\255.png,0,0.4301059,1,0.34003976,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\504.png,0,0.3041438,0,0.29156783,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\172.png,1,0.5241138,1,0.564135,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1830.png,0,0.29841214,0,0.36080265,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1894.png,0,0.47688004,1,0.2937866,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1271.png,1,0.9425897,1,0.88947105,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\603.png,1,0.53616154,1,0.46473685,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\456.png,1,0.54861796,1,0.3767119,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\291.png,1,0.61000556,1,0.5546817,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\206.png,0,0.42852184,1,0.628963,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\296.png,0,0.6345896,1,0.54743683,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1256.png,1,0.72245973,1,0.6240187,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1756.png,0,0.07817896,0,0.12016212,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\442.png,0,0.26995227,0,0.2570375,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\863.png,0,0.38341612,1,0.3717238,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\31.png,1,0.5485327,1,0.61609185,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\358.png,1,0.9196614,1,0.84384274,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\594.png,0,0.51894325,1,0.41891387,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\2.png,1,0.56722516,1,0.5735192,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\333.png,1,0.90504444,1,0.8857276,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1325.png,1,0.8192817,1,0.77619153,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1535.png,0,0.15764679,0,0.18984969,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1872.png,0,0.17742789,0,0.1938184,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\505.png,1,0.97056246,1,0.94039035,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\621.png,0,0.13846217,0,0.20378636,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\911.png,1,0.7932335,1,0.79503286,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1010.png,0,0.53651774,1,0.40325743,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1089.png,1,0.93793917,1,0.95907104,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\63.png,1,0.7061329,1,0.67080957,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\772.png,1,0.9425057,1,0.96627086,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\146.png,1,0.92169327,1,0.92641294,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\325.png,0,0.34400705,0,0.21511523,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\495.png,0,0.10791813,0,0.10455108,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\53.png,1,0.5211006,1,0.49188,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1878.png,0,0.046727765,0,0.084808856,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\124.png,1,0.48016372,1,0.40585127,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\255.png,1,0.93195003,1,0.85350454,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\530.png,0,0.14344467,0,0.11106974,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\918.png,1,0.96386683,1,0.97178,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\375.png,0,0.4433938,1,0.4248682,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\777.png,1,0.7953936,1,0.724422,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\594.png,0,0.15311716,0,0.25576347,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1035.png,0,0.3815054,1,0.325216,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\607.png,1,0.75048316,1,0.6766712,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\692.png,0,0.46511307,1,0.38231516,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\577.png,0,0.08331111,0,0.12531736,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\455.png,1,0.7837731,1,0.7504275,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\419.png,1,0.95191216,1,0.95880413,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1321.png,0,0.81786764,1,0.67460465,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1231.png,0,0.73460054,1,0.45793176,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1900.png,0,0.54067636,1,0.39245772,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\635.png,0,0.22620992,0,0.22748333,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\510.png,0,0.3043546,0,0.2349396,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\233.png,1,0.5679466,1,0.5044109,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\653.png,1,0.74911165,1,0.73315114,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\34.png,1,0.953684,1,0.93899494,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1836.png,1,0.19636951,0,0.21014413,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\364.png,1,0.82988155,1,0.7024801,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1680.png,1,0.89625806,1,0.9591632,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\960.png,1,0.6823885,1,0.70740783,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\1527.png,1,0.766032,1,0.7916856,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\140.png,1,0.89477885,1,0.8801886,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\41.png,1,0.9607634,1,0.93766016,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\394.png,0,0.6881976,1,0.38677335,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Test\174.png,1,0.5386263,1,0.4977398,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Validation\388.png,1,0.8862171,1,0.9035673,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\153.png,0,0.36693352,1,0.34597942,0
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\602.png,1,0.5496133,1,0.6727247,1
C:\_Projetos\Pessoal\topicos\notebooks\dataset_preprocessed\Training\622.png,1,0.88965553,1,0.8814713,1
